"name","neighbourhood_group","neighbourhood","room_type","price"
"Discovery","Brooklyn","East Flatbush","Private room",99
"Entire Private Modern Studio UWS Manhattan","Manhattan","Upper West Side","Entire home/apt",99
"Home away from Home ,Neat and clean 5 minutes JFK","Queens","South Ozone Park","Entire home/apt",99
"2 bedroom apartment across from Central Park","Manhattan","Harlem","Entire home/apt",99
"Honda","Brooklyn","East Flatbush","Private room",99
"Luxurious Apt in the heart of Manhattan","Manhattan","Midtown","Entire home/apt",99
"Entire 1 bedroom private home with an office.","Queens","Woodhaven","Entire home/apt",99
"Two Bedroom fully furnished - UES (30 days MIN)","Manhattan","Upper East Side","Entire home/apt",99
"Amazing Penthouse Studio (Midtown East)","Manhattan","Midtown","Entire home/apt",99
"Private Brownstone  Basement Studio Seasonal Space","Brooklyn","Bedford-Stuyvesant","Entire home/apt",99
"The Lex  Executive","Manhattan","Kips Bay","Entire home/apt",99
"Manhattan Studio Apt Queen bed & Sofabed loveseat","Manhattan","Harlem","Entire home/apt",99
"JFK Private Bedroom/Bathroom Room #2","Queens","Jamaica","Private room",99
"East Village Location to Experience Manhattan","Manhattan","East Village","Private room",99
"Cozy Studio in Queens zZZ","Queens","Woodside","Entire home/apt",99
"Beautiful Ditmas Park","Brooklyn","Kensington","Entire home/apt",99
"Private room w/memory foam QUEEN bed SUNNY space","Manhattan","East Village","Private room",99
"Brownstone Diamond in Clinton Hill","Brooklyn","Bedford-Stuyvesant","Entire home/apt",99
"Cozy Room in Midtown Manhattan","Manhattan","Kips Bay","Private room",99
"Williamsburg Penthouse Hideaway","Brooklyn","Williamsburg","Private room",99
"Newly renovated 1 bedroom apartment!","Staten Island","West Brighton","Entire home/apt",99
"Private room with terrace","Queens","Long Island City","Private room",99
"Times Square Private room with Pool and Gym","Manhattan","Hell's Kitchen","Private room",99
"♡Private Rm/Women's Safe Art Home♡","Brooklyn","Bedford-Stuyvesant","Private room",99
"Private big one bedroom apt, Brooklyn,NY","Brooklyn","Brownsville","Entire home/apt",99
"Beautiful private room in East Village, NYC","Manhattan","East Village","Private room",99
"Clean, Cozy, Close to City (15min)","Queens","Astoria","Entire home/apt",99
"Sunny modern oasis near THE Park","Manhattan","East Harlem","Private room",99
"Private bedroom, Hudson Yards, 42D","Manhattan","Hell's Kitchen","Private room",99
"1 XLrg BR w backyard - City cntre to Penn & Vessel","Manhattan","Hell's Kitchen","Private room",99
"Sunny 2-Bed with Outdoor Patio on BEST Street Ever","Manhattan","Chinatown","Entire home/apt",99
"Charming studio in Soho - Greenwich Village !","Manhattan","Greenwich Village","Entire home/apt",99
"nice privet room","Brooklyn","Sheepshead Bay","Private room",99
"Beautiful 1 Bedroom apartment in Prime GREENPOINT","Brooklyn","Greenpoint","Entire home/apt",99
"Cozy 1 Bedroom Apt","Manhattan","Harlem","Entire home/apt",99
"Private Bedroom in Super Comfortable NYC Apt.","Manhattan","Upper West Side","Private room",99
"Private bedroom/bathroom in Williamsburg GEM !","Brooklyn","Williamsburg","Private room",99
"Hudson Yards room 41D1","Manhattan","Hell's Kitchen","Private room",99
"Cozy UES studio near  Mount Sinai (30 days MIN)","Manhattan","Upper East Side","Entire home/apt",99
"Comfy Room in Amazing East Village Apt","Manhattan","East Village","Private room",99
"Charming Bedroom in Gramercy","Manhattan","Gramercy","Private room",99
"Completely Updated Designer Apt Best Location","Manhattan","Kips Bay","Entire home/apt",99
"Spacious 1bedroom 20 min from Times Square!","Manhattan","Harlem","Entire home/apt",99
"The  CLEANEST apartment in New York City!!","Manhattan","Washington Heights","Private room",99
"Cute Full Apt in Wahi!! One Block from 1/A trains!","Manhattan","Washington Heights","Entire home/apt",99
"East Village 1 Bdrm Price Negotiable Exposed Brick","Manhattan","East Village","Entire home/apt",99
"HUGE Master Suite Private Bath in Spacious Duplex","Manhattan","Hell's Kitchen","Private room",99
"The Lioness Den 2","Manhattan","Harlem","Private room",99
"Luxury Williamsburg Loft:The Perfect Getaway suite","Brooklyn","Williamsburg","Private room",99
"No Inq,Read it, 1 BR, Rt of Subway,","Queens","Jackson Heights","Private room",99
